lat,lon,id,pm2_5_cf_1_count,pm2_5_atm_count,p_2_5_um_count,start_date,end_date,Network
33.8425,-118.377,19003,5724,5725,5716,13-01-2019 20:19,26-10-2019 05:03,PPA
33.8425,-118.377,19004,5724,5724,5711,13-01-2019 20:19,26-10-2019 05:04,PPA
34.1811,-118.839,19046,1952,1952,1952,01-01-2019 00:00,23-03-2019 07:00,PPA
34.174,-118.379,19402,3522,3522,3523,01-01-2019 00:00,27-05-2019 20:00,PPA
34.2209,-119.011,19525,7288,7288,7287,01-01-2019 00:00,13-01-2020 23:20,PPA
34.2209,-119.011,19526,7623,7623,7623,01-01-2019 00:00,13-01-2020 23:20,PPA
36.5419,-121.655,19555,8776,8776,8776,01-01-2019 00:00,13-01-2020 23:50,PPA
36.5419,-121.655,19556,8776,8776,8776,01-01-2019 00:00,13-01-2020 23:50,PPA
34.1734,-118.044,19601,8996,8996,8998,01-01-2019 00:00,14-01-2020 23:36,PPA
34.1734,-118.044,19602,8998,8998,8996,01-01-2019 00:00,14-01-2020 23:44,PPA
36.6283,-121.923,19607,4526,4526,4525,01-01-2019 00:00,14-01-2020 23:19,PPA
36.6283,-121.923,19608,4525,4525,4525,01-01-2019 00:00,14-01-2020 23:19,PPA
34.166,-118.758,19644,8910,8910,8911,01-01-2019 00:00,13-01-2020 23:18,PPA
34.0426,-118.528,19981,8867,8867,8867,02-01-2019 21:01,14-01-2020 23:16,PPA
34.0367,-118.709,19991,8745,8745,8745,01-01-2019 00:00,13-01-2020 23:18,PPA
34.0367,-118.709,19992,8745,8745,8745,01-01-2019 00:00,13-01-2020 23:18,PPA
34.1369,-118.141,20137,8950,8950,8948,01-01-2019 00:00,13-01-2020 23:16,PPA
34.1369,-118.141,20138,8948,8948,8948,01-01-2019 00:00,13-01-2020 23:14,PPA
34.1054,-118.211,20151,8729,8729,8725,01-01-2019 00:01,13-01-2020 23:00,PPA
34.1054,-118.211,20152,8722,8722,8721,01-01-2019 00:01,13-01-2020 23:00,PPA
33.8943,-118.401,20211,8353,8353,8353,01-01-2019 00:01,13-01-2020 23:19,PPA
33.8943,-118.401,20212,8353,8353,8354,01-01-2019 00:01,13-01-2020 23:19,PPA
34.4335,-118.584,20335,6,6,6,23-01-2019 21:09,24-01-2019 02:11,PPA
34.4335,-118.584,20336,6,6,6,23-01-2019 21:09,24-01-2019 02:11,PPA
34.1573,-118.385,20700,8966,8966,8969,03-01-2019 19:42,13-01-2020 23:01,PPA
34.1573,-118.385,20702,8950,8950,8932,03-01-2019 19:42,13-01-2020 23:00,PPA
34.1056,-118.215,20704,8848,8848,8851,03-01-2019 00:45,13-01-2020 23:19,PPA
34.1056,-118.215,20706,8848,8848,8846,03-01-2019 00:45,13-01-2020 23:21,PPA
35.3197,-120.836,20739,4912,4912,4912,05-01-2019 03:31,28-07-2019 18:01,PPA
35.3197,-120.836,20740,4912,4912,4913,05-01-2019 03:31,28-07-2019 18:01,PPA
34.0364,-118.459,20761,5368,5368,5368,08-01-2019 23:13,18-10-2019 17:02,PPA
34.0364,-118.459,20762,5440,5440,5440,08-01-2019 23:13,18-10-2019 17:02,PPA
34.045,-118.526,20777,7832,7832,7831,18-01-2019 18:35,14-01-2020 23:48,PPA
34.045,-118.526,20778,7828,7828,7828,18-01-2019 18:35,14-01-2020 23:46,PPA
34.0078,-118.795,20819,6743,6743,6743,01-01-2019 00:00,14-01-2020 23:21,PPA
34.0078,-118.795,20820,6732,6732,6731,01-01-2019 00:00,14-01-2020 23:21,PPA
